kabkota;tahun_2019;tahun_2020;tahun_2021;tahun_2022;tahun_2023;tahun_2024
BANYUWANGI;3,493;5,657;7,327;6,626;5,342;5,021
GRESIK;6,998;9,301;8,149;8,708;6,348;7,903
MALANG;4,943;6,745;7,994;9,065;4,56;7,594
NGANJUK;7,275;18,58;15,96;18,88;7,61;12,14
PASURUAN;13,6;13,09;15,94;12,9;9,376;10,65
SIDOARJO;5,31;9,011;7,569;8,607;6,159;7,735
SUMENEP;3,579;5,911;6,041;6,876;4,226;4,866
TUBAN;5,27;5,769;7,153;6,59;3,964;4,703
KOTA SURABAYA;4,043;7,923;6,355;6,63;3,84;4,244
